n;t_paso1;t_paso2;t_paso3;t_paso5
1620103;0,135100;0,796600;0,009000;4987,599800
1816301;0,143100;0,792800;0,009400;5036,007300
1624151;0,146500;0,792200;0,009800;6364,872500
1587581;0,140500;0,723500;0,009200;4917,104200
1484141;0,134900;0,907700;0,009700;5798,242600
1952689;0,138000;0,781000;0,009900;6411,065700
1195483;0,127100;0,958500;0,010200;5150,901300
3006733;0,588200;1,384100;0,045900;8146,129100
2166179;0,470200;0,880800;0,015700;6272,151600
3684701;0,677800;0,968900;0,031700;8408,169300
2644927;0,226900;1,224700;0,034300;7149,251900
2188651;0,306200;0,931900;0,021100;6362,328300
3385339;0,880800;1,266300;0,026300;13414,869800
3143851;0,270800;1,266400;0,012700;9794,815900
2620909;0,195100;0,679300;0,011400;6382,269900
2658521;0,190800;0,997600;0,011700;6811,607400
3555169;0,307000;0,955800;0,020600;8329,250400
3837199;0,234600;0,947500;0,012000;8283,522900
3816641;0,364200;1,111600;0,032400;8295,584900
2718673;0,191300;0,866600;0,013100;6461,990100
2829539;0,232200;1,250200;0,012100;7735,385200
3462229;0,241700;1,040900;0,014300;13042,697500
3539387;0,372200;1,635700;0,023800;13359,385400
3767807;0,217900;1,238400;0,024100;13336,036900
3377029;0,187500;1,172200;0,011100;8180,383700
2359303;0,148400;1,084600;0,010200;6301,406300
2184047;0,155500;0,919200;0,010900;6592,841800
2903737;0,163200;0,934900;0,011200;7964,727700
3757837;0,186900;1,815200;0,015900;16383,498700
3003719;0,173900;1,120900;0,012500;7194,039200
3097813;0,173000;1,429000;0,012600;11713,372500
3430727;0,189000;0,921300;0,011000;8163,339500
2943649;0,166200;1,195200;0,012600;11540,574000
2890637;0,172600;1,230800;0,012000;9943,936900
2199961;0,150100;0,805800;0,010600;6758,890900
2445409;0,150400;0,672600;0,012700;6346,141800
3462863;0,183500;1,516500;0,012100;10433,958600
2494031;0,178700;1,653300;0,016000;14815,996200
2271397;0,155300;1,368400;0,034100;9559,099000
2129851;0,142600;0,934700;0,011300;7447,282900
3534683;0,187800;0,981200;0,011100;8186,238300
4053953;0,195700;1,575100;0,013500;16290,901100
3968957;0,197200;0,893600;0,010900;8388,875100
3606769;0,190200;0,901800;0,012500;11918,153100
3369679;0,193000;1,062600;0,011400;8155,128700
2573209;0,162400;1,165200;0,012200;6443,921500
3919217;0,192600;1,063600;0,011400;8359,639800
2327713;0,154100;0,957500;0,010400;6709,751400
2595773;0,218700;1,231900;0,010300;6434,104700
3763831;0,185900;1,003800;0,013500;8347,988100
2748281;0,160000;0,882500;0,010400;6453,781100
3301579;0,185000;1,071200;0,011100;8108,373200
3003227;0,203300;1,005300;0,010600;7090,412500
3136037;0,170800;1,528900;0,013900;15596,462600
3131419;0,182600;1,959300;0,010700;7083,820400
3320873;0,175000;1,080200;0,011200;8139,715400
2616797;0,183900;0,925800;0,010500;6525,098800
4727417;0,212700;1,487000;0,012400;12526,482500
7952999;0,290300;1,503000;0,013100;15157,386200
5983391;0,239300;1,482000;0,012700;14253,937800
7884517;0,305500;1,713500;0,014700;23768,277800
8250569;0,285500;1,595100;0,025400;13732,641100
5236271;1,188000;1,289200;0,015400;16368,643100
7531739;0,270600;1,512900;0,016300;17066,041600
5626871;0,230400;1,464200;0,013700;17198,602300
8187757;0,298300;1,124000;0,012800;13732,247200
8378369;0,288000;1,211600;0,013600;15178,229000
6699919;0,251500;1,340900;0,013400;16816,776500
6882377;0,252800;1,802400;0,013000;14571,453900
6276779;0,261500;1,409700;0,012600;12907,240000
6751889;0,282600;1,639800;0,015800;26381,431300
4832017;0,213400;1,378600;0,012100;12480,875600
7686893;0,265300;1,452100;0,012700;13570,184700
5124443;0,226100;1,429900;0,013100;14179,924700
5122669;0,249500;1,494800;0,013200;16240,708500
5678437;0,261300;1,649000;0,012900;14110,036700
8048639;0,316900;1,479000;0,023100;13819,498900
4992947;0,225200;1,556300;0,014600;21521,099800
6388463;0,254700;1,471100;0,012800;12964,691000
8341997;0,299700;1,546200;0,014200;17499,216600
7850701;0,279000;1,067400;0,013000;14962,783800
7119533;0,276400;1,405300;0,012800;14665,178600
4297759;0,533900;1,608600;0,012900;16633,398900
7281889;0,259700;1,441900;0,015900;26547,523200
7144549;0,275100;1,471300;0,015900;17794,605100
4304821;0,225000;1,362400;0,012400;12436,517200
7892461;0,287600;1,322800;0,012700;13590,738200
8036473;0,283200;1,360700;0,013900;17481,644000
6125261;0,238500;2,670000;0,015400;26080,010800
7427281;0,284000;1,169500;0,012300;13500,702600
6395833;0,243800;1,810800;0,013500;16598,014600
8018891;0,301000;1,159400;0,013100;15088,368200
4802843;0,227300;1,361700;0,013300;17022,254000
4755701;0,217900;1,472700;0,012800;13980,004900
5739677;0,242900;1,154700;0,050400;12855,843500
4574239;0,204100;1,333000;0,013600;16004,571200
6380963;0,247100;1,413900;0,013700;16886,996200
5027509;0,243700;1,194800;0,012700;14276,602100
6249211;0,252800;1,317500;0,013200;14518,620300
4741339;0,211700;1,629100;0,014400;12510,021800
6381671;0,254500;1,213000;0,012500;12957,159200
6991447;0,268600;1,189700;0,012700;13234,910500
4858159;0,220800;1,466700;0,013600;16954,219000
4526177;0,255700;1,765400;0,013000;13854,609100
5123281;0,224400;0,824600;0,012500;12674,222900
6002677;0,238600;1,480100;0,015200;14317,664600
7465439;0,276100;1,388300;0,013700;17056,407200
9242983;0,292900;1,650600;0,014600;23626,060200
15443657;0,405800;1,459700;0,013800;19082,024400
11155457;0,322100;1,485300;0,013500;18262,003400
15490219;0,386500;1,652900;0,013800;19094,126200
16120453;0,484200;1,526500;0,015200;26760,869700
11457367;0,322400;1,642200;0,013300;18448,797900
9656453;0,307300;1,481100;0,012900;15503,515600
9857213;0,380300;1,364800;0,012900;15558,062300
12704413;0,375000;2,034100;0,014700;24378,434400
9508777;0,318900;1,598200;0,015500;28083,152600
8497451;0,368800;1,406900;0,013800;17585,966400
8986381;0,286500;1,820700;0,015900;17963,308500
12385273;0,342700;1,627100;0,013300;18500,166500
15862409;0,379100;1,503200;0,014600;25224,075900
16091963;0,393100;1,381100;0,013300;19457,974200
14190677;0,367300;1,547400;0,013600;18877,328500
16106747;0,403200;2,055600;0,014800;26373,593100
11314013;0,324100;1,658400;0,012600;15775,858000
15994819;0,387400;1,981200;0,016300;37106,258400
12128257;0,368800;1,325400;0,013500;18472,183600
14876117;0,411000;1,887100;0,014800;25066,843100
12808099;0,569200;1,595200;0,015300;16261,397000
12644189;0,353700;1,362400;0,013600;18497,878100
12387629;0,336400;1,333300;0,013500;18469,370400
16424273;0,387800;2,151700;0,014900;25505,798800
11831873;0,331800;1,509000;0,013800;18330,287800
10330027;0,330400;1,384100;0,012900;14049,967300
9210713;0,291200;1,415400;0,012700;15499,592600
14639591;0,372200;1,285900;0,013900;18937,271300
9921407;0,304400;1,390500;0,013400;15552,213800
14552627;0,394000;1,508400;0,013700;20335,904900
14358787;0,448200;1,636700;0,013800;19263,745800
13856231;0,379700;1,615800;0,013600;19418,116000
12115783;0,441200;1,705900;0,013500;18438,030100
15432533;0,392700;1,979600;0,019700;19130,419200
11672371;0,349400;1,469800;0,016100;18328,842500
8513389;0,327600;1,532900;0,013900;18376,067100
12596357;0,352200;1,558000;0,014300;20364,718100
16658959;0,417700;1,601400;0,014500;21583,408000
14080529;0,361000;1,914700;0,045600;19727,185000
11738339;0,345400;1,680600;0,015900;19567,706900
15715379;0,418900;2,138300;0,015800;25215,624100
16132211;0,414100;1,705600;0,015000;26327,418300
15263527;0,400800;1,568900;0,013300;19065,793900
12835547;0,353000;2,007100;0,014300;24719,044100
9576277;0,327500;1,282700;0,012400;14024,733600
16462601;0,415300;1,424700;0,014600;26619,517900
11485723;0,334300;1,438800;0,013300;18954,361500
12455503;0,338700;1,496200;0,012900;16170,884900
14016781;0,373600;1,666900;0,015900;19869,274400
22650259;0,455500;1,477900;0,014000;21471,260900
23976311;0,574300;2,316400;0,017000;45496,538200
23317601;0,463000;1,773900;0,014900;29721,751100
33110321;0,561700;1,506000;0,015000;28672,756900
23408159;0,485800;1,979000;0,025400;32285,439400
25329559;0,478300;1,952900;0,016200;38098,914200
19144387;0,419700;1,642900;0,013600;21033,469200
24927949;0,482200;1,903900;0,015000;28303,988400
31897949;0,583600;2,153800;0,016300;33815,694400
19279919;0,449000;1,443400;0,015900;20241,535000
17183267;0,418300;1,459900;0,013900;19939,002000
20935693;0,443300;1,907600;0,017300;43939,396400
32251903;0,552000;1,800400;0,014800;27979,769700
29719777;0,522400;1,731400;0,015100;29171,764000
20613169;0,431900;2,313800;0,015400;26859,607800
29071657;0,545200;1,819600;0,017000;46491,989600
31948759;0,584400;1,850100;0,016400;38227,960600
23089657;0,458400;1,966100;0,015000;26743,302400
20090743;0,448700;1,699300;0,015800;20160,384200
28459741;0,510500;2,080900;0,016300;40510,909200
18983999;0,445900;1,446500;0,013200;20752,089800
29858033;0,556100;1,939100;0,015900;27845,004700
21123517;0,437900;1,739700;0,013800;21104,351900
30576877;0,533900;2,066000;0,016800;41829,833200
31092491;0,675700;1,871700;0,015100;27801,324200
18398167;0,432900;1,647400;0,014000;19919,473600
31044743;0,556800;1,917600;0,014700;27735,448100
33242087;0,559900;1,613000;0,015200;28202,799400
19008247;0,455000;1,342600;0,014000;19898,373900
17499701;0,432700;1,251000;0,013700;19626,319800
21959681;0,442000;1,435200;0,015600;32037,025200
22606553;0,471600;2,440300;0,018100;31956,153000
29832241;0,561000;1,236800;0,014900;27633,570000
28335623;0,827900;2,485600;0,036100;36895,829800
24597871;0,492000;1,544300;0,015100;26875,838700
31364407;0,555600;1,623600;0,014800;27739,063900
33381619;0,558100;2,054600;0,014600;28163,197400
17568491;0,402900;1,390100;0,014100;20574,304300
25098751;0,498400;1,378100;0,016700;36550,992700
23283979;0,494200;2,005900;0,015600;31747,420900
19362131;0,422100;1,511400;0,013700;19924,710600
28621909;0,518200;1,570400;0,014900;27452,557900
28119991;0,516700;1,348100;0,016200;27461,589300
24921791;0,477400;1,469100;0,015000;26972,276500
30447947;0,543400;2,067400;0,015600;32973,013800
20196797;0,430500;2,314200;0,016200;38415,719600
25585991;0,486800;1,697900;0,017500;32100,511400
22332533;0,472800;1,682500;0,014100;21092,136000
25817347;0,485800;1,851500;0,014700;26918,315000
20303587;0,435500;1,707000;0,014100;21007,259200
65491697;0,934100;2,603000;0,016700;44703,349500
61279507;0,828700;1,928600;0,016700;44468,424700
37506481;0,590100;1,597200;0,017500;28968,679200
56887939;0,919900;2,352800;0,016200;35762,186600
45309521;0,663200;2,208100;0,016700;43291,035800
35151367;0,562400;2,119500;0,017300;28395,867700
64564681;0,760900;2,155700;0,016600;44613,561700
64957027;1,014600;3,126600;0,016700;44643,874700
43125169;0,648100;1,776900;0,015900;35119,227800
55335671;0,706200;2,244900;0,020800;55527,061500
66948697;0,832500;2,268800;0,017100;44845,431600
59203553;0,890700;2,054000;0,016900;45874,421800
40407119;0,628300;1,919900;0,017200;47467,359500
49239413;0,730000;1,766400;0,016300;35332,727600
52579847;0,695000;2,314200;0,016200;40253,350600
39526133;0,598000;2,155500;0,015200;30508,972400
49411309;0,691400;1,943400;0,017100;43535,125900
38040397;0,587500;1,623000;0,014700;29022,373400
51375127;0,685800;1,717900;0,016800;43599,311300
66458027;0,796500;2,018300;0,015800;36442,882100
35305727;0,593000;1,884500;0,015600;29734,836500
44119547;0,701200;1,791700;0,016800;39862,159300
53375681;0,696600;1,548200;0,015600;35718,833400
49406177;0,857100;2,968900;0,019900;45751,795000
39586369;0,600100;2,412300;0,018700;65532,907700
37252099;0,603500;1,638600;0,014700;28931,875500
37248859;0,581100;1,694600;0,014800;28882,998200
63351539;1,497000;2,028400;0,019200;41169,053100
46653647;0,669600;2,497700;0,016700;43302,936400
55147661;0,735000;1,973300;0,016400;44002,912600
51255793;0,681700;2,074200;0,016800;40180,456700
35945309;0,572000;1,752900;0,015000;29949,519400
58458833;0,732300;2,131500;0,016600;44124,882200
34570189;0,626100;1,744500;0,016600;41207,038800
56268217;0,749700;2,023200;0,016100;40604,678800
62464189;0,769400;1,908000;0,017000;44574,777100
54768893;0,706100;2,426800;0,016700;44005,573500
39709727;0,728600;2,609900;0,036900;66042,775800
35304923;0,566300;3,263000;0,016500;38231,403100
58077379;0,733300;1,876700;0,015500;35838,527100
35361113;0,565800;2,385000;0,014800;28379,589000
42379303;0,643000;1,691300;0,016100;30702,009500
60155807;0,744500;2,419300;0,016900;44120,305300
62902709;0,829600;1,665700;0,016600;44622,369100
50810951;0,753300;2,142100;0,017800;55187,774100
63480293;0,779700;1,916100;0,016100;41212,363400
54798533;0,711800;2,826700;0,015800;35767,971400
64355867;0,792700;2,154800;0,016500;41231,955300
42494623;0,662900;2,057300;0,015100;30728,695000
61278677;0,779600;2,659500;0,017800;55813,720000
90015973;0,901800;2,042300;0,016900;47456,496800
120809443;1,073800;3,327200;0,019500;76300,075900
80732917;0,872500;2,244300;0,017200;52511,501900
88226113;0,921500;2,422800;0,016700;47668,581700
80864809;0,889500;1,511200;0,019000;42888,363700
95383579;0,990300;2,923300;0,016500;47655,414600
113065097;1,122100;2,699400;0,018100;54669,556400
96544561;0,931800;2,092700;0,017200;53811,436500
124742993;1,057500;2,186600;0,018300;61563,677100
124162459;1,096500;2,366700;0,019300;76623,441600
108713729;1,008300;2,388800;0,016900;48189,389600
104842753;0,966000;2,005900;0,016900;47748,847200
76780001;0,853800;2,299100;0,018100;57582,300400
72766009;0,829200;1,741100;0,016700;45589,791600
74606401;0,820500;1,588900;0,016600;45606,217900
114643883;1,015800;2,502300;0,020900;48174,884000
115692019;1,029800;2,192700;0,018400;60919,516300
71975653;0,826600;2,252300;0,016900;45365,631700
77715371;0,860300;2,187300;0,016500;42686,297100
116655967;1,072700;3,432700;0,024100;148645,857600
104916529;1,009700;2,207400;0,017800;61154,998300
114870269;1,044700;2,870600;0,018200;62050,980000
79291841;0,844700;1,710200;0,016500;43665,879800
104321431;0,969900;2,256400;0,021100;63089,535600
133788163;1,924100;2,600500;0,017400;59095,563900
128125363;1,115000;3,642000;0,022300;132206,088000
101551189;1,033100;2,259500;0,018400;50355,232100
90858869;0,917500;2,459100;0,020000;55549,789200
117610643;1,089700;2,881500;0,018000;57036,906300
70749551;0,852000;2,463000;0,019500;57765,634200
70137079;0,799100;2,014700;0,017700;51443,848500
94922519;0,927600;1,905200;0,016900;48165,213600
97792997;0,974900;2,118900;0,016600;48404,020100
113896411;1,034700;1,863800;0,016900;48943,095900
82921037;0,966800;2,392500;0,016400;43888,198700
124141439;1,095200;2,324000;0,017500;55744,641500
73771501;0,884400;1,603900;0,016800;45983,529500
71837033;0,812200;2,386600;0,016800;45930,771000
99836557;0,993000;3,530700;0,018000;60991,484800
83016721;0,862500;2,743400;0,017400;52693,944200
91375831;0,950800;1,969500;0,017000;47962,795900
75452329;0,948600;2,177100;0,017100;46123,032700
103372309;0,995500;2,122900;0,018200;60923,969200
97647899;0,974400;2,496900;0,019700;48230,077300
83301289;1,102100;1,949900;0,016400;43664,687100
96882817;0,935400;2,051000;0,016800;48265,676900
71215919;0,806000;2,908400;0,019700;45770,037500
119338537;1,034600;2,332800;0,020800;61672,502900
72563419;0,806900;2,145000;0,017000;45798,409000
85697231;0,904900;2,228300;0,017900;59274,482500
267767581;1,665700;2,430900;0,020300;87761,282600
228212939;2,403200;3,310600;0,018000;66956,028200
180421753;1,291100;2,516100;0,019200;83910,488400
134865323;1,159100;2,851200;0,018200;55970,331800
158932817;1,225700;2,059300;0,019900;79522,279600
165130169;1,221000;2,801900;0,021100;64321,379200
217527151;1,402500;1,860400;0,022400;68970,064500
150975431;1,375000;2,973300;0,021400;57089,048900
176541361;1,306400;2,290000;0,018400;65654,337700
178738673;1,365900;3,037400;0,020800;83835,031700
263411791;1,549900;2,778100;0,019900;84687,239900
186801997;1,295100;2,454100;0,018100;66386,077700
165579347;1,245500;2,979700;0,019500;79796,948200
155142943;1,985100;2,357300;0,018100;57279,232600
169468499;1,238000;3,550200;0,027600;91464,136100
203782769;1,361700;3,201500;0,021300;66376,914000
172472149;1,267100;2,919000;0,020000;83369,516600
204052213;1,384500;2,268300;0,018400;68956,427400
135257803;1,106000;2,212200;0,017600;55915,078200
212139271;1,570300;2,546000;0,019800;86289,874300
201116683;1,369200;2,367700;0,018700;66491,735500
151670689;1,184500;1,866100;0,017300;56950,479700
134453369;1,115600;2,514600;0,017300;55840,089000
201968821;1,339900;2,391700;0,018100;66331,580000
254584397;1,508700;3,201400;0,019900;93337,290500
246789869;1,497700;2,676100;0,019400;84141,094600
187453547;1,294700;2,791600;0,019500;81885,006900
199506481;1,460000;2,491500;0,018300;66375,405500
231328303;1,437600;2,695800;0,019400;83985,131400
197610169;1,330700;2,435300;0,019400;85589,069800
238073041;1,532500;3,247600;0,020000;93212,994400
171574783;1,388100;2,812000;0,019800;80407,496900
260185889;1,601700;2,775200;0,019700;87771,628700
154367567;1,201200;2,523300;0,018400;63775,917400
200954857;1,344200;2,560600;0,020100;91529,282400
232587403;1,458800;2,318300;0,018400;69952,325800
222839033;1,583100;2,507800;0,018300;67141,666000
175316441;1,255100;2,478800;0,019400;83488,833200
136105121;1,105400;2,698700;0,052200;85990,754400
203877533;1,571200;2,769900;0,018100;66333,677000
183657293;1,285400;2,868400;0,021300;65830,614000
225741577;1,520300;3,070800;0,018400;66911,599300
143463211;1,207300;2,099400;0,018100;56457,159000
229119883;1,467500;2,714500;0,019100;69882,251900
145171421;1,268300;2,413100;0,018200;56274,696900
267589313;1,557100;4,006200;0,027400;152184,722400
246764047;1,493500;2,983100;0,019300;70073,971700
219830311;1,484000;2,266400;0,023400;66897,873100
164856467;1,260400;3,268300;0,023900;64359,353500
190664933;1,311100;3,453300;0,020900;66367,494400
520855597;2,191700;2,736900;0,019900;101716,413000
497748007;2,147500;2,858300;0,020400;101811,259800
409992833;1,918700;3,090700;0,020300;93641,300600
525522983;2,162500;4,040000;0,023400;165032,992500
385188799;1,885900;2,844200;0,019800;92358,379300
494012611;2,139200;3,060300;0,020100;102823,441400
409248533;1,966300;2,867200;0,019500;93191,190700
429496091;1,980700;3,799100;0,023100;165875,131300
360525091;2,539000;2,942000;0,020400;89197,314600
289880623;1,755600;3,648900;0,029100;91808,796200
529674679;2,228100;4,635400;0,026300;174581,155600
397652417;2,021200;4,065400;0,024800;210574,262500
381482587;2,247400;5,714200;0,027900;182215,232200
308210207;1,759900;4,044200;0,021300;96083,703300
362271193;1,821600;2,716000;0,020500;107843,126600
286977421;2,517200;2,443900;0,019600;91947,556100
420640573;1,974000;3,281200;0,019300;97452,854100
286710869;1,691900;5,237800;0,027100;218483,517900
501591791;2,641800;2,865100;0,020500;100598,230600
432894541;2,952800;2,839200;0,023000;159321,305300
504840863;3,114600;3,553600;0,020900;100978,489200
269807729;1,632200;2,502600;0,019500;83905,384500
335726663;1,727900;3,046200;0,019800;86245,465400
335450663;1,727500;3,741100;0,019900;95468,540600
323156291;1,699400;3,456400;0,019900;95211,537900
511876921;2,298700;2,803700;0,020300;104166,726200
369793363;1,838300;3,101000;0,019500;87768,037300
353128903;1,803300;3,017600;0,019900;96136,395000
394464013;1,897500;3,268800;0,020200;98903,002200
527905057;2,223400;4,427600;0,023600;175651,177800
346103579;1,825900;3,714900;0,020600;97410,711700
283943483;1,607000;3,299300;0,019600;95918,770400
531318041;2,983400;3,202100;0,023100;110153,678500
419302703;2,119100;3,178300;0,019400;96953,235100
310812967;1,773300;3,976600;0,020500;105784,534900
459363371;2,105900;2,848700;0,020400;108077,988600
468356879;2,081500;3,403000;0,020300;102005,704700
350799041;2,448300;3,477500;0,022900;162429,656100
536306513;2,273100;2,792000;0,020400;124548,079000
410758973;2,069900;4,441600;0,025500;222634,248700
283447501;3,752100;5,592800;0,035900;98282,780800
314407553;1,687700;3,482500;0,022900;160683,732100
501400993;2,419400;2,885400;0,020700;114200,987000
292359679;1,945200;5,033900;0,039300;108277,473500
447375527;2,211600;2,902500;0,021500;111637,958900
316588897;1,782300;2,680300;0,020700;96725,566000
500715197;3,462700;5,142600;0,024500;133011,831400
522241721;3,259900;3,657700;0,027000;260619,317700
337085267;1,857300;3,220000;0,021200;88058,197300
280656199;1,625700;2,458000;0,020100;86293,012600
